Adams-Bashforth(3): step = 789200, run time in [1.35400e+00, 1.49947e+00] seconds.
Adams-Bashforth(4): step = 406800, run time in [1.09498e+00, 1.11335e+00] seconds.
Adams-Moulton(3): step = 375600, run time in [6.29445e-01, 6.38863e-01] seconds.
Adams-Moulton(4): step = 212400, run time in [5.89077e-01, 5.71663e-01] seconds.
Adams-Moulton(5): step = 94800, run time in [3.84979e-01, 3.60321e-01] seconds.
BDF(3): step = 681200, run time in [1.45443e+00, 1.43051e+00] seconds.
BDF(4): step = 352400, run time in [1.14011e+00, 1.15917e+00] seconds.
classical RK: step = 86000, run time in [2.78556e-02, 2.83794e-02] seconds.
ESDIRK: step = 66000, run time in [1.58790e-01, 1.60986e-01] seconds.
Gauss-Legendre RK(1): step = 6237200, run time in [1.89627e+00, 2.26245e+00] seconds.
Gauss-Legendre RK(2): step = 59600, run time in [3.58989e-02, 3.74240e-02] seconds.
Gauss-Legendre RK(3): step = 17200, run time in [1.89640e-02, 1.97485e-02] seconds.
Fehlberg embedded RK: step = 52400, run time in [2.21889e-02, 2.41854e-02] seconds.
Dormand-Prince embedded RK: step = 19600, run time in [9.60810e-03, 1.08589e-02] seconds.
Adams-Bashforth(3): step = 16400, run time in [3.59872e-02, 3.89889e-02] seconds.
Adams-Bashforth(4): step = 3600, run time in [9.55240e-03, 1.18220e-02] seconds.
Adams-Moulton(3): step = 7600, run time in [1.37368e-02, 1.52804e-02] seconds.
Adams-Moulton(4): step = 2000, run time in [4.70380e-03, 6.36680e-03] seconds.
Adams-Moulton(5): step = 2000, run time in [5.66830e-03, 8.46260e-03] seconds.
BDF(3): step = 14000, run time in [3.56739e-02, 3.82882e-02] seconds.
BDF(4): step = 2800, run time in [8.11240e-03, 1.08601e-02] seconds.
classical RK: step = 1200, run time in [2.46200e-04, 4.46100e-04] seconds.
ESDIRK: step = 600, run time in [2.14880e-03, 3.43050e-03] seconds.
Gauss-Legendre RK(1): step = 11600, run time in [4.69660e-03, 5.49230e-03] seconds.
Gauss-Legendre RK(2): step = 600, run time in [5.79200e-04, 9.42300e-04] seconds.
Gauss-Legendre RK(3): step = 600, run time in [8.80200e-04, 1.46200e-03] seconds.
Fehlberg embedded RK: step = 1200, run time in [3.42500e-04, 6.49400e-04] seconds.
Dormand-Prince embedded RK: step = 600, run time in [2.04300e-04, 4.04000e-04] seconds.
